STT,Trích yếu,Số đến,Số ký hiệu,Ngày văn bản,Ngày đến,Đơn vị ban hành,Nội dung,Ngày hết hạn,Người xử lý cuối,Thời gian xử lý,Số hồ sơ,Mã hồ sơ,Ghi chú
14,Phê duyệt nhiệm vụ quy hoạch xây dựng nông thôn mới xã Phương Độ,,000/QĐ-UBND,29/06/2012,,UBND huyện Phúc Thọ,,,,,,,
15,phê duyệt Quy hoạch xây dựng NTM xã Vân Phúc huyện Phúc Thọ đến năm 2020,,0/QĐ-UBND,08/08/2012,,UBND huyện Phúc Thọ,,,,,,,
16,"phê duyệt QH xây dựng NTm xã Sen Chiểu, huyện Phúc Thọ đến năm 2020",,000/QĐ-UBND,08/08/2012,,UBND huyện Phúc Thọ,,,,,,,
17,phê duyệt Quy hoạch nông thôn mới xã Thọ Lộc,,0/QĐ-UBND,15/08/2012,,UBND huyện Phúc Thọ,,,,,,,
18,phê duyệt Quy hoạch nông thôn mới xã Phúc Hoà,,0/QĐ-UBND,17/08/2012,,UBND huyện Phúc Thọ,,,,,,,
22,phê duyệt quy hoạch xây dựng nông thôn mới xã Cẩm Đình huyện Phúc Thọ đến năm 2020,,0/QĐ-UBND,20/08/2012,,UBND huyện Phúc Thọ,,,,,,,
20,phê duyệt quy hoạch xây dựng nông thôn mới xã Thượng Cốc,,0/QĐ-UBND,20/08/2012,,UBND huyện Phúc Thọ,,,,,,,
19,phê duyệt quy hoạch xây dựng nông thôn mới xã Vân Nam,,0/QĐ-UBND,20/08/2012,,UBND huyện Phúc Thọ,,,,,,,
21,phê duyệt quy hoạch xây dựng nông thôn mới xã Võng Xuyên,,0/QĐ-UBND,20/08/2012,,UBND huyện Phúc Thọ,,,,,,,chưa lưu hồ sơ
23,Phê duyệt nhiệm vụ quy hoạch xây dựng nông thôn mới xã Tích Giang,,0/QĐ-UBND,10/09/2012,,UBND huyện Phúc Thọ,,,,,,,
24,"phê duyệt quy hoạch xây dựng nông thôn mới xã Trạch Mỹ Lộc, huyện Phúc Thọ đến năm 2020",,0/QĐ-UBND,10/09/2012,,UBND huyện Phúc Thọ,,,,,,,
25,"Quy hoach xây dựng NTM xã Tích Giang, huyện Phúc Thọ đến năm 2020",,2073/QĐ-UBND,10/09/2012,,UBND huyện Phúc Thọ,,,,,,,
26,"phê duyệt quy hoạch xây dựng nông thôn mới xã Hát Môn, huyện Phúc Thọ đến năm 2020",,0/QĐ-UBND,12/09/2012,,UBND huyện Phúc Thọ,,,,,,,
27,"phê duyệt quy hoạch xây dựng nông thôn mới xã Long Xuyên, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020.",,0/QĐ-UBND,19/09/2012,,UBND huyện Phúc Thọ,,,,,,,
28,"phê duyệt quy hoạch chung xây dựng NTMới xã Ngọc Tảo, huyện Phúc Thọ đến năm 2020.",,0/QĐ-UBND,24/09/2012,,UBND huyện Phúc Thọ,,,,,,,
29,phê duyệt quy hoạch xây dựng nông thôn mới xã Vân Hà huyện Phúc Thọ đến năm 2020.,,0/QĐ-UBND,24/09/2012,,UBND huyện Phúc Thọ,,,,,,,
32,phê duyệt quy hoạch xây dựng nông thôn mới xã Xuân Phú huyện Phúc Thọ đến năm 2020.,,0/QĐ-UBND,25/09/2012,,UBND huyện Phúc Thọ,,,,,,,
30,"phê duyệt quy hoạch xây dựng nông thôn mới xã Tam Hiệp, huyện Phúc Thọ đến năm 2020.",,0/QĐ-UBND,25/09/2012,,UBND huyện Phúc Thọ,,,,,,,
31,phê duyệt quy hoạch xây dựng nông thôn mới xã Thanh Đa huyện Phúc Thọ.,,0/QĐ-UBND,25/09/2012,,UBND huyện Phúc Thọ,,,,,,,
33,phê duyệt quy hoạch xây dựng nông thôn mới xã Tam Thuấn huyện Phúc Thọ đến năm 2020.,,0/QĐ-UBND,26/09/2012,,UBND huyện Phúc Thọ,,,,,,,
34,phê duyệt quy hoạch xây dựng nông thôn mới xã Hiệp Thuận huyện Phúc Thọ đến năm 2020.,,0/QĐ-UBND,26/09/2012,,UBND huyện Phúc Thọ,,,,,,,
35,"phê duyệt quy hoạch xây dựng nông thôn mới xã Phụng Thượng, huyện Phúc Thọ đến năm 2020",,0/QĐ-UBND,10/10/2012,,UBND huyện Phúc Thọ,,,,,,,
36,"phê duyệt quy hoạch xây dựng nông thôn mới xã Liên Hiệp, huyện Phúc Thọ đến năm 2020",,0/QĐ-UBND,07/11/2012,,UBND huyện Phúc Thọ,,,,,,,
37,"Phê duyệt quy hoạch điểm dân cư nông thôn xã Phúc Hòa, huyện Phúc Thọ, đến năm 2020, tỷ lệ 1/2000",,0/QĐ-UBND,04/04/2013,,UBND huyện Phúc Thọ,,,,,,,
38,"Phê duyệt quy hoạch điểm dân cư nông thôn xã Sen Chiểu, huyện Phúc Thọ, đến năm 2020, tỷ lệ 1/2000",,0/QĐ-UBND,04/04/2013,,UBND huyện Phúc Thọ,,,,,,,
39,"Phê duyệt quy hoạch điểm dân cư nông thôn xã Trạch Mỹ Lộc, huyện Phúc Thọ, đến năm 2020, tỷ lệ 1/2000",,0/QĐ-UBND,04/04/2013,,UBND huyện Phúc Thọ,,,,,,,
40,"về việc ban hành quy chế đánh số, gắn biển số nhà và biển chỉ dẫn công cộng trên địa bàn thành phố hà nội",,04/2014/QĐ-UBND,25/01/2014,,UBND thành phố Hà Nội,,,,,,,
41,luật xây dựng,,50/2014/LUẬT-QH13,18/06/2014,,Quốc hội,,,,,,,
42,Phê duyệt quy hoạch điểm dân cư nông thôn xã Cẩm Đình huyện Phúc Thọ đến năm 2020,,0/QĐ-UBND,04/09/2014,,UBND huyện Phúc Thọ,,,,,,,
43,Phê duyệt quy hoạch điểm dân cư nông thôn xã Hát Môn huyện Phúc Thọ đến năm 2020,,0/QĐ-UBND,02/10/2014,,UBND huyện Phúc Thọ,,,,,,,
44,quyết định quy hoạch xây dựng huyện 2014,,5335/QĐ-UBND,16/10/2014,,UBND thành phố Hà Nội,,,,,,,
45,cắm mốc giới và quản lý mốc giới theo quy hoạch đô thị trên địa bàn Thành phố Hà Nội,,82/2014/QĐ-UBND,21/11/2014,,UBND thành phố Hà Nội,,,,,,,
47,"về việc phê duyệt quy hoạch chung thị trấn sinh thái Phúc Thọ đến năm 2030 tầm nhìn đến năm 2050, tỷ lệ 1/5000",,7071/QĐ-UBND,26/12/2014,,UBND thành phố Hà Nội,,,,,,,
46,quyết định quy hoạch thị trấn sinh thái 2014,,7071/QĐ-UBND,26/12/2014,,UBND thành phố Hà Nội,,,,,,,
48,"Phê duyệt Quy hoạch điểm dân cư nông thôn xã Phương Độ đến năm 2020, tỷ lệ 1/2000 ",,0/QĐ-UBND,10/02/2015,,UBND huyện Phúc Thọ,,,,,,,
49,"quy định, nội dung quy hoạch, xây dựng",,44/2015/NĐ-CP,06/05/2015,,Chính phủ,,,,,,,
50,"quy chuẩn 07 2016, giao thông, đô thị",,01/2016/BXD-TĐ,01/02/2016,,Bộ Xây dựng,,,,,,,
51,"phê duyệt quy hoạch phòng chống lũ và quy hoạch đê điều hệ thống sông hồng, sông thái bình",,257/QĐ-TTg,18/02/2016,,Thủ tướng,,,,,,,
52,"cắm, quản lý mốc giới theo quy hoạch xây dựng",,10/2016/BXD-TĐ,15/03/2016,,Bộ Xây dựng,,,,,,,
53,"phê duyệt quy hoạch giao thông vận tải thủ đô Hà Nội đến năm 2030, tầm nhìn đến 2050",,519/QĐ-TTg,31/03/2016,,Thủ tướng,,,,,,,
54,"phân loại, đô thị",,1210/2016/NĐ-HĐND,25/05/2016,,HĐND huyện Phúc Thọ,,,,,,,
56,"quy định, hồ sơ, nhiệm vụ, quy hoạch, xây dựng, liên huyện, vùng huyện, đô thị, khu chức năng, nông thôn",,04/2022/BXD-TĐ,29/06/2016,,Bộ Xây dựng,,,,,,,
55,"quy định, hồ sơ, quy hoạch, xây dựng, vùng, đô thị, khu chức năng",,12/2016/BXD-TĐ,29/06/2016,,Bộ Xây dựng,,,,,,,
57,"sửa đổi, bổ sung điều 6 và phụ lục 4 về danh mục ngành, nghề đầu tư kinh doanh có điều kiện của luật đầu tư",,03/2016/LUẬT-QH14,22/11/2016,,Quốc hội,,,,,,,
58,phê duyệt chủ trương đầu tư xây dựng công trình bãi xe tĩnh xã Vân Hà,,2050/QĐ-UBND,05/07/2017,,UBND huyện Phúc Thọ,,,,,,,
59,phê duyệt báo cáo kinh tế kỹ thuật đầu tư xây dựng công trình bãi xe tĩnh xã Vân Hà,,3931/QĐ-UBND,30/10/2017,,UBND huyện Phúc Thọ,,,,,,,
60,Phê duyệt quy hoạch phát triển cụm công nghiệp thành phố Hà Nội đến năm 2020 có xét đến năm 2030,,1292/QĐ-UBND,14/03/2018,,UBND thành phố Hà Nội,,,,,,,
61,quyết định chỉ giới đường đỏ đường tỉnh 417,,2096/QĐ-SQHKT,13/04/2018,,Sở Quy hoạch - Kiến trúc,,,,,,,
62,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Tam Hiệp, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2397/QĐ-UBND,24/09/2018,,UBND huyện Phúc Thọ,,,,,,,
901,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Vân Hà, huyện Phúc Thọ đến năm 2020, định hướng đến năm 2030",,2441/QĐ-UBND,26/09/2018,,UBND huyện Phúc Thọ,,,,,,,
171,Thông báo kết luận của chủ tịch UBND thành phố tại cuộc họp đánh giá kết quả 1 năm thực hiện dịch vụ vệ sinh môi trường theo phương thức đấu thầu tập trung trên địa bàn thành phố hà nội,,832/TB-UBND,28/09/2018,04/03/2020,Ủy ban nhân dân TP Hà Nội,"Hoàng Mạnh Hùng (04/03/2020), Khuất Quang Cảnh (04/03/2020), Tô Quang Tuyển (04/03/2020)",,,,,,
63,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Tam Thuấn, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2521/QĐ-UBND,02/10/2018,,UBND huyện Phúc Thọ,,,,,,,
64,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Hát Môn, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2557/QĐ-UBND,04/10/2018,,UBND huyện Phúc Thọ,,,,,,,
65,phê duyệt điều chỉnh quy hoạch chung xây dựng xã Thọ Lộc đến năm 2020 định hướng đến năm 2030,,2720/QĐ-UBND,25/10/2018,,UBND huyện Phúc Thọ,,,,,,,
66,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Long Xuyên, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2744/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
76,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Phụng Thượng, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2759/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
68,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Hiệp Thuận, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2751/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
69,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Vân Phúc, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2752/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
71,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Thượng Cốc, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2753/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
77,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Trạch Mỹ Lộc, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2760/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
73,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Thanh Đa, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2756/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
74,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Vân Nam, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2758/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
75,"về việc phê duyệt Điều chỉnh Quy hoạch chung xây dựng xã Vân Nam, huyện Phúc Thọ đến năm 2020, định hướng đến năm 2030",,2758/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
902,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Phúc Hòa, huyện Phúc Thọ đến năm 2020, định hướng đến năm 2030",,2762/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
903,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Liên Hiệp, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2745/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
72,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Tích Giang, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2754/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
67,"phê duyệt điều chỉnh Quy hoạch chung xây dựng xã Ngọc Tảo, huyện Phúc Thọ, thành phố Hà Nội đến năm 2020, định hướng đến năm 2030;",,2750/QĐ-UBND,26/10/2018,,UBND huyện Phúc Thọ,,,,,,,
78,"sửa đổi, bổ sung một số điều của 37 luật có liên quan đến quy hoạch",,35/2018/LUẬT-QH14,20/11/2018,,Quốc hội,,,,,,,
79,"Đề nghị đầu tư xây dựng một số cầu yếu, cầu nhỏ trên địa bàn huyện Phúc Thọ bằng nguồn vốn ngân sách thành phố Hà Nội",,395/UBND,12/04/2019,,UBND huyện Phúc Thọ,,,,,,,
81,luật kiến trúc,,40/2019/LUẬT-QH14,13/06/2019,,Quốc hội,,,,,,,
80,Luật đầu tư công,,39/2019/LUẬT-QH14,13/06/2019,,Quốc hội,,,,,,,
82,"v/v phê duyệt báo cáo kinh tế kỹ thuật đầu tư xây dựng dự án xây dựng hệ thống chiếu sáng trục đường 417,418 đoạn qua địa phận huyện Phúc Thọ",,3244/QĐ-UBND,18/06/2019,,UBND thành phố Hà Nội,,,,,,,
83,"Điều chỉnh, bổ sung, quy định, quản lý, quy hoạch xây dựng",,72/2019/NĐ-CP,30/08/2019,,Chính phủ,,,,,,,
33,"Tờ trình về việc đề nghị bổ sung thêm một số hạng mục cho công trình Cải tạo, nâng cấp đường trục chính nội dồng xã Phụng Thượng, huyện Phúc Thọ, thành phố hà nội (hạng mục : Đường Bờ hời cụm 8)",,60/TTR-UBND,28/11/2019,13/01/2020,UBND xã Phụng Thượng,Hoàng Mạnh Hùng (13/01/2020),,,,,,
90,"v/v thực hiện chế độ báo cáo định kỳ về trật tự, an toán giao thông",,139/BTGT-VP,06/12/2019,11/02/2020,Ban an toàn giao thông Thành phố,"Hoàng Mạnh Hùng (11/02/2020), Vũ Hữu Dũng (11/02/2020), Nguyễn Văn Thắng (11/02/2020)",,,,,,
105,Báo cáo về thông tin công trình xây dựng: Cải tạo nâng cấp nhà văn hóa cụm 10 xã Võng Xuyên,,358/BC-QLDA,10/12/2019,14/02/2020,Ban QLDA ĐTXD huyện,Hoàng Mạnh Hùng (14/02/2020),,,,,,
5,"Quyết định giao chỉ tiêu biên chế, lao động hợp đồng năm 2020 đối với các phòng, ban quản lý nhà nước và đơn vị sự nghiệp thuộc UBND huyện",,3112/QĐ-UBND,10/12/2019,06/01/2020,2019-12-10 00:00:00,"Hoàng Mạnh Hùng (06/01/2020), Tô Quang Tuyển (07/01/2020)",,,,,,
8,Nghị quyết về dự toán ngân sách địa phương và phân bổ ngân sách cấp huyện; kế hoạch đầu tư công năm 2020 huyện phúc thọ,,77/NQ-HĐND,10/12/2019,07/01/2020,Hội đồng nhân dân huyện,Hoàng Mạnh Hùng (07/01/2020),,,,,,
9,Nghị quyết về việc điều chỉnh kế hoạch đầu tư công vốn ngân sách huyện năm 2019 (đợt 2),,73/NQ-HĐND,10/12/2019,07/01/2020,Hội đồng nhân dân huyện,Hoàng Mạnh Hùng (07/01/2020),,,,,,
10,"Nghị quyết về nhiệm vụ phát triển kinh tế xã hội, quốc phòng an ninh năm 2020",,71/NQ-HĐND,10/12/2019,07/01/2020,Hội đồng nhân dân huyện,Hoàng Mạnh Hùng (07/01/2020),,,,,,
11,"Nghị quyết về việc điều chỉnh, bổ sung kế hoạch đầu tư công trung hạn",,74/NQ-HĐND,10/12/2019,07/01/2020,Hội đồng nhân dân huyện,Hoàng Mạnh Hùng (07/01/2020),,,,,,
12,"Nghị quyết về kế hoạch tổ chức các kỳ họp thường lệ năm 2020 của HĐND huyện khóa XIX, nhiệm kỳ 2016-2021",,72/NQ-HĐND,10/12/2019,07/01/2020,Hội đồng nhân dân huyện,Hoàng Mạnh Hùng (07/01/2020),,,,,,
15,"Nghị quyết về việc bãi bỏ nghị quyết số 03/2017/NQ-HĐND ngày 11/7/2017 của HĐND huyện về hỗ trợ kinh phí đối với lực lượng công an viên thôn, cụm dân cư trên địa bàn huyện phúc thọ giai đoạn 2017-2021 và Nghị quyết số 04/2017/NQ-HĐND ngày 11/7/2017 của HĐND huyện về việc đầu tư kinh phí thực hiện dự án đào đắp, kiên cố hóa giao thông thủy lợi nội đồng; kiên cố hóa đường giao thông thôn xóm đạt chuẩn nông thôn mới đến năm 2020",,07/2019/NQ-HĐND,10/12/2019,07/01/2020,Hội đồng nhân dân huyện,Hoàng Mạnh Hùng (07/01/2020),,,,,,
14,"Nghị quyết về việc sửa đổi, bổ sung một số nội dung nghị quyết số 02/2016/NQ-HĐND ngày 14/12/2016 của HĐND huyện về hỗ trợ kinh phí khuyến khích hỏa táng trên địa bàn huyện phúc thọ giai đoạn 2017 -2021",,06/2019/NQ-HĐND,10/12/2019,07/01/2020,Hội đồng nhân dân huyện,,,,,,,
13,"Nghị quyết về việc miễn nhiệm ủy viên UBND huyện phúc thọ khóa XIX, nhiệm kỳ 2016-2021 đối với ông Bùi Xuân Trường",,70/NQ-HĐND,10/12/2019,07/01/2020,Hội đồng nhân dân huyện,Hoàng Mạnh Hùng (07/01/2020),,,,,,
115,Tờ trình thẩm định và phê duyệt điều chỉnh quy hoạch tổng mặt bằng tỷ lệ 1/500 dự án cửa hàng kinh doanh xăng dầu Minh Trang,,72/TTR-CTMT,16/12/2019,17/02/2020,Công ty TNHH thương mại và xây dưng phát atrieern minh trang,"Hoàng Mạnh Hùng (17/02/2020), Nguyễn Văn Tập (17/02/2020)",,,,,,
107,"Báo cáo về thông tin công trình xây dựng: Cải tạo sửa chữa chông xuống cấp một số hạng mục trường THCS Ngọc Tảo, trường mầm non Thanh Đa và trường mầm non Liên Hiệp",,405/BC-BQLDA,23/12/2019,14/02/2020,Ban QLDA ĐTXD huyện,"Hoàng Mạnh Hùng (14/02/2020), Nguyễn Viết Tùng (20/02/2020)",,,,,,
34,"Chỉ thị về việc thực hiện nghiêm kỷ luật, kỷ cương hành chính của cán bộ, công chức, viên chức và người lao động dịp tết nguyên đán canh tý 2020",,20/CT-UBND,25/12/2019,13/01/2020,Ủy ban nhân dân TP Hà Nội,Hoàng Mạnh Hùng (13/01/2020),,,,,,
29,"Tờ trình về việc gia hạn thời gian thực hiện dự án công trình: Cải tạo, nâng cấp nghĩa trang liệt sỹ xã Võng Xuyên, huyện Phúc Thọ, TP Hà Nội",,95/TTR-UBND,25/12/2019,13/01/2020,UBND xã Võng Xuyên,"Hoàng Mạnh Hùng (13/01/2020), Nguyễn Văn Tập (13/01/2020)",,,,,,
30,"Tờ trình về việc gia hạn thời gian thực hiện dự án công trình: Cải tạo, nâng cấp trường tiểu học Võng Xuyên B, huyện phúc thọ, thành phố hà nội",,96/TTR-UBND,25/12/2019,13/01/2020,UBND xã Võng Xuyên,"Hoàng Mạnh Hùng (13/01/2020), Nguyễn Văn Tập (13/01/2020)",,,,,,
84,định mức xây dựng,,10/2019/BXD-TĐ,26/12/2019,,Bộ Xây dựng,,,,,,,
132,"v/v đăng ký chủ đầu tư xây dụng kết cấu hạ tầng cụm công nghiệp làng nghề Long Xuyên xã Long xuyên, huyện Phúc Thọ",,3012/2019/ĐĐK,30/12/2019,19/02/2020,Công ty CP đầu tư Thiên Ân,"Hoàng Mạnh Hùng (19/02/2020), Nguyễn Văn Tập (25/02/2020)",,,,,,
7,"Báo cáo hoàn thành thi công xây dựng công trình hạng mục công trình: Hoàn trả di chuyển điện hạ thees,4KV nằm trong phạm vi dự án phải di chuyển phục vụ công tác GPMB dự án đầu tư xây dựng công trình: Đường giao thông liên xã đi từ QL32 qua xã Thọ Lộc - Võng Xuyên - Phương Độ lên đê Hữu Hồng, trên địa bàn xã Võng Xuyên, huyện Phúc Thọ, hà nội",,52/BC-PTQĐ,30/12/2019,06/01/2020,Trung tâm phát triển quỹ đất hyện,"Hoàng Mạnh Hùng (06/01/2020), Nguyễn Văn Tập (07/01/2020)",,,,,,
85," xác định, quản lý chi phí quy hoạch xây dựng và quy hoạch đô thị",,20/2019/BXD-TĐ,31/12/2019,,Bộ Xây dựng,,,,,,,
71,Vv hướng dẫn công tác khóa sổ cuối năm và lập quyết toán NSNN hàng năm,,210/TCKH,31/12/2019,05/02/2020,Phòng Tài chính-Kế hoạch,"Hoàng Mạnh Hùng (05/02/2020), Tô Quang Tuyển (20/02/2020)",,,,,,
0,"Vv nguồn vốn thực hiện đầu tư cải tạo trụ sở UBND các xã Võng Xuyên, Phúc Hòa, Thượng Cốc, Hát Môn",,209/TCKH,31/12/2019,31/12/2019,Phòng Tài chính-Kế hoạch,,,,,,,
1,"Báo cáo hoàn thành thi công xây dựng công trình: Trường THCS chất lượng cao thị trấn Phúc Thọ""",,419/BC-BQLDA,31/12/2019,02/01/2020,Ban QLDA ĐTXD huyện,"Hoàng Mạnh Hùng (02/01/2020), Nguyễn Văn Tập (03/01/2020)",,,,,,
3,Báo cáo thông tin công trình xây dựng: Cứng hóa đường giao thông nội đồng xã Ngọc Tảo,,418/BC-BQLDA,31/12/2019,02/01/2020,Ban QLDA ĐTXD huyện,Hoàng Mạnh Hùng (02/01/2020),,,,,,
106,Bá cáo về thông tin công trình xây dựng: Nhà hội họp cụm 13 thôn Nam xã Phụng Thượng,,422/BC-BQLDA,31/12/2019,14/02/2020,Ban QLDA ĐTXD huyện,Hoàng Mạnh Hùng (14/02/2020),,,,,,
42,"Hướng dẫn phương pháp đánh giá, chấm điểm các tiêu chí công nhận xã nông thôn mới kiểu mẫu thành phố hà nội giai đoạn 2019-2020",,283/HD-SNN,31/12/2019,14/01/2020,Sở Nông nghiệp và phát triển nông thôn,"Hoàng Mạnh Hùng (14/01/2020), Khuất Quang Cảnh (14/02/2020)",,,,,,
23,"Kế hoạch kiểm tra, xử lý các hạnh vi vi phạm hành chính trong hoạt động kinh doanh vận tải bằng xe ô tô trên địa bàn thành phố Hà Nội năm 2020",,12718/KH-SGTVT,31/12/2019,10/01/2020,Sở Giao thông Vận tải,Hoàng Mạnh Hùng (10/01/2020),,,,,,
43,Chỉ thị về việc tổ chức phục vụ tết nguyên đán canh tý năm 2020 trên địa bàn huyện phúc thọ,,13/CT-UBND,31/12/2019,14/01/2020,UBND huyện Phúc Thọ,Hoàng Mạnh Hùng (14/01/2020),,,,,,
93,Vv hoàn trả vốn ứng đối với các dự án đấu giá quyền sử dụng đất ứng vốn từ quỹ đầu tư phát triển thành phố hà nội,,1137/QĐTPT-NV2,31/12/2019,11/02/2020,Quỹ đầu tư phát triển thành phố,Hoàng Mạnh Hùng (11/02/2020),,,,,,
427,Vv hướng dẫn một số điểm về tổ chức thực hiện dự toán ngân sách nhà nước năm 2020,,212/TCKH,31/12/2019,21/05/2020,Phòng Tài chính-Kế hoạch,"Nguyễn Văn Thắng (21/05/2020), Tô Quang Tuyển (21/05/2020)",,,,,,
120,Vv hướng dẫn xây dựng kế hoạch đầu tư công trung hạn 5 năm 2021-2025,,211/TCKH,31/12/2019,17/02/2020,Phòng Tài chính-Kế hoạch,Hoàng Mạnh Hùng (17/02/2020),,,,,,
4,"Tờ trình về việc xin lắp đèn cảnh báo giao thông, gờ giảm tốc, biển chỉ dẫn tên trường đoạn đường từ QL32 rẽ vào trường THCS Thị trấn Phúc Thọ",,18/TTR-THCS,02/01/2020,03/01/2020,Trường THCS Thị trấn,"Hoàng Mạnh Hùng (03/01/2020), Vũ Hữu Dũng (03/01/2020), Nguyễn Văn Thắng (03/01/2020)",,,,,,
